Run,analyte_type,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,biospecimen_repository,biospecimen_repository_sample_id,body_site,Bytes,Center Name,Consent_Code,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gap_accession,Instrument,is_tumor,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,study_design,study_name,submitted_subject_id,sex,AssemblyName,histological_type,molecular_data_type,alignment_software (exp),AvgReadLength (run),coverage (run),lsid (exp),lsid (run),project (exp),project (run),run_barcode (run),run_name (run),work_request (exp),work_request (run),flowcell_barcode (run),gssr_id (exp),gssr_id (run),material_type (exp),read_group_id (run),research_project (exp),research_project (run),root_sample_id (exp),root_sample_id (run),sample_id (exp),Sample_ID (run),analysis_type (exp),analysis_type (run),instrument_name (run),lane (run),library_type (exp),library_type (run),sample_type (exp),product_order (exp),product_order (run),data_type (exp),data_type (run),product_part_number (exp),product_part_number (run),sample_barcode (exp),sample_barcode (run),is_technical_control,target_set (exp),primary_disease (exp),secondary_accessions (run),Alignment_Provider (run)
SRR1331267,RNA:Total RNA,RNA-Seq,152,7244561680,PRJNA75899,SAMN02791827,GTEx,GTEX-ZPIC-1126-SM-5BC7F,Breast - Mammary Tissue,3754097522,BI,1,GRU,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX568299,phs000424,Illumina HiSeq 2000,No,Solexa-211580,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-04T00:00:00Z,GTEX-ZPIC-1126-SM-5BC7F,SRP012682,Cross-Sectional,Genotype-Tissue Expression (GTEx),GTEX-ZPIC,female,GCF_000001405.25,Breast,"Allele-Specific Expression,RNA Seq (NGS)",,,,broadinstitute.org:bsp.prod.sample:5BC7F,broadinstitute.org:bsp.prod.sample:5BC7F,G53785,G53785,H75BYADXX140110,140110_SL-HDE_0307_AFCH75BYADXX,39224,39224,H75BYADXX,463495.0,463495.0,RNA:Total RNA,H75BY.2,RP-16,RP-16,SM-442M1,SM-442M1,SM-5BC7F,SM-5BC7F,Resequencing,Resequencing,SL-HDE,2,cDNAShotgunStrandAgnostic,cDNAShotgunStrandAgnostic,Normal,PDO-2518,PDO-2518,RNA,RNA,P-RNA-0002,P-RNA-0002,,,,,,,
SRR1334587,RNA:Total RNA,RNA-Seq,152,7111785424,PRJNA75899,SAMN02793664,GTEx,GTEX-111YS-1926-SM-5GICC,Breast - Mammary Tissue,3346216030,BI,1,GRU,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX569787,phs000424,Illumina HiSeq 2000,No,Solexa-220348,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-04T00:00:00Z,GTEX-111YS-1926-SM-5GICC,SRP012682,Cross-Sectional,Genotype-Tissue Expression (GTEx),GTEX-111YS,male,GCF_000001405.25,Breast,"Allele-Specific Expression,RNA Seq (NGS)",,,,broadinstitute.org:bsp.prod.sample:5GICC,broadinstitute.org:bsp.prod.sample:5GICC,G59445,G59445,H7CABADXX140219,140219_SL-HDF_0376_BFCH7CABADXX,40013,40013,H7CABADXX,486852.0,486852.0,RNA:Total RNA,H7CAB.2,RP-16,RP-16,SM-4DWFH,SM-4DWFH,SM-5GICC,SM-5GICC,Resequencing,Resequencing,SL-HDF,2,cDNAShotgunStrandAgnostic,cDNAShotgunStrandAgnostic,Normal,PDO-2875,PDO-2875,RNA,RNA,P-RNA-0002,P-RNA-0002,,,,,,,
SRR1335212,RNA:Total RNA,RNA-Seq,152,6108434032,PRJNA75899,SAMN02788633,GTEx,GTEX-145MN-1926-SM-5SIAI,Breast - Mammary Tissue,2781009586,BI,1,GRU,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX570110,phs000424,Illumina HiSeq 2000,No,Solexa-234693,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-04T00:00:00Z,GTEX-145MN-1926-SM-5SIAI,SRP012682,Cross-Sectional,Genotype-Tissue Expression (GTEx),GTEX-145MN,male,GCF_000001405.25,Breast,"Allele-Specific Expression,RNA Seq (NGS)",,,,broadinstitute.org:bsp.prod.sample:5SIAI,broadinstitute.org:bsp.prod.sample:5SIAI,G62193,G62193,H7J54ADXX140403,140403_SL-HDE_0392_AFCH7J54ADXX,40445,40445,H7J54ADXX,517535.0,517535.0,RNA:Total RNA,H7J54.1,RP-16,RP-16,SM-548FO,SM-548FO,SM-5SIAI,SM-5SIAI,Resequencing,Resequencing,SL-HDE,1,cDNAShotgunStrandAgnostic,cDNAShotgunStrandAgnostic,Normal,PDO-3013,PDO-3013,RNA,RNA,P-RNA-0002,P-RNA-0002,,,,,,,
SRR1335917,RNA:Total RNA,RNA-Seq,152,6971739312,PRJNA75899,SAMN02789618,GTEx,GTEX-ZLFU-2126-SM-4WWEV,Breast - Mammary Tissue,3487636607,BI,1,GRU,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX570413,phs000424,Illumina HiSeq 2000,No,Solexa-193641,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-04T00:00:00Z,GTEX-ZLFU-2126-SM-4WWEV,SRP012682,Cross-Sectional,Genotype-Tissue Expression (GTEx),GTEX-ZLFU,male,GCF_000001405.25,Breast,"Allele-Specific Expression,RNA Seq (NGS)",,,,broadinstitute.org:bsp.prod.sample:4WWEV,broadinstitute.org:bsp.prod.sample:4WWEV,G49146,G49146,H79MWADXX131101,131101_SL-HDH_0269_AFCH79MWADXX,38463,38463,H79MWADXX,411303.0,411303.0,RNA:Total RNA,H79MW.1,RP-16,RP-16,SM-43JUQ,SM-43JUQ,SM-4WWEV,SM-4WWEV,Resequencing,Resequencing,SL-HDH,1,cDNAShotgunStrandAgnostic,cDNAShotgunStrandAgnostic,Normal,PDO-2186,PDO-2186,RNA,RNA,P-RNA-0002,P-RNA-0002,,,,,,,
SRR1336181,RNA:Total RNA,RNA-Seq,152,9574376184,PRJNA75899,SAMN02788872,GTEx,GTEX-131XW-0726-SM-5EGK3,Breast - Mammary Tissue,4326395920,BI,1,GRU,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX570539,phs000424,Illumina HiSeq 2000,No,Solexa-216093,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-04T00:00:00Z,GTEX-131XW-0726-SM-5EGK3,SRP012682,Cross-Sectional,Genotype-Tissue Expression (GTEx),GTEX-131XW,female,GCF_000001405.25,Breast,"Allele-Specific Expression,RNA Seq (NGS)",,,,broadinstitute.org:bsp.prod.sample:5EGK3,broadinstitute.org:bsp.prod.sample:5EGK3,G58420,G58420,H7B4WADXX140204,140204_SL-HDJ_0293_BFCH7B4WADXX,39960,39960,H7B4WADXX,478723.0,478723.0,RNA:Total RNA,H7B4W.1,RP-16,RP-16,SM-4STZQ,SM-4STZQ,SM-5EGK3,SM-5EGK3,Resequencing,Resequencing,SL-HDJ,1,cDNAShotgunStrandAgnostic,cDNAShotgunStrandAgnostic,Normal,PDO-2831,PDO-2831,RNA,RNA,P-RNA-0002,P-RNA-0002,,,,,,,
SRR1339236,RNA:Total RNA,RNA-Seq,152,6338802648,PRJNA75899,SAMN02793429,GTEx,GTEX-1314G-1226-SM-5BC6D,Breast - Mammary Tissue,3255595743,BI,1,GRU,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX571776,phs000424,Illumina HiSeq 2000,No,Solexa-211543,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-04T00:00:00Z,GTEX-1314G-1226-SM-5BC6D,SRP012682,Cross-Sectional,Genotype-Tissue Expression (GTEx),GTEX-1314G,male,GCF_000001405.25,Breast,"Allele-Specific Expression,RNA Seq (NGS)",,,,broadinstitute.org:bsp.prod.sample:5BC6D,broadinstitute.org:bsp.prod.sample:5BC6D,G53827,G53827,H7A0TADXX140114,140114_SL-HDF_0334_AFCH7A0TADXX,39224,39224,H7A0TADXX,463458.0,463458.0,RNA:Total RNA,H7A0T.2,RP-16,RP-16,SM-4SH4X,SM-4SH4X,SM-5BC6D,SM-5BC6D,Resequencing,Resequencing,SL-HDF,2,cDNAShotgunStrandAgnostic,cDNAShotgunStrandAgnostic,Normal,PDO-2518,PDO-2518,RNA,RNA,P-RNA-0002,P-RNA-0002,,,,,,,
SRR1339431,RNA:Total RNA,RNA-Seq,152,6611231032,PRJNA75899,SAMN02792956,GTEx,GTEX-11TUW-1826-SM-5BC5D,Breast - Mammary Tissue,3411892432,BI,1,GRU,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX571856,phs000424,Illumina HiSeq 2000,No,Solexa-211508,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-04T00:00:00Z,GTEX-11TUW-1826-SM-5BC5D,SRP012682,Cross-Sectional,Genotype-Tissue Expression (GTEx),GTEX-11TUW,male,GCF_000001405.25,Breast,"Allele-Specific Expression,RNA Seq (NGS)",,,,broadinstitute.org:bsp.prod.sample:5BC5D,broadinstitute.org:bsp.prod.sample:5BC5D,G53861,G53861,H79FPADXX140117,140117_SL-HDG_0276_BFCH79FPADXX,39224,39224,H79FPADXX,463423.0,463423.0,RNA:Total RNA,H79FP.1,RP-16,RP-16,SM-4JJ8R,SM-4JJ8R,SM-5BC5D,SM-5BC5D,Resequencing,Resequencing,SL-HDG,1,cDNAShotgunStrandAgnostic,cDNAShotgunStrandAgnostic,Normal,PDO-2518,PDO-2518,RNA,RNA,P-RNA-0002,P-RNA-0002,,,,,,,
SRR1314092,RNA:Total RNA,RNA-Seq,152,5743920552,PRJNA75899,SAMN02792173,GTEx,GTEX-13NZ8-0126-SM-5IJCT,Breast - Mammary Tissue,2764170487,BI,1,GRU,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX560630,phs000424,Illumina HiSeq 2000,No,Solexa-224589,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-02T00:00:00Z,GTEX-13NZ8-0126-SM-5IJCT,SRP012682,Cross-Sectional,Genotype-Tissue Expression (GTEx),GTEX-13NZ8,female,GCF_000001405.25,Breast,"Allele-Specific Expression,RNA Seq (NGS)",,,,broadinstitute.org:bsp.prod.sample:5IJCT,broadinstitute.org:bsp.prod.sample:5IJCT,G60127,G60127,H7H4BADXX140303,140303_SL-HDF_0387_AFCH7H4BADXX,40028,40028,H7H4BADXX,497746.0,497746.0,RNA:Total RNA,H7H4B.1,RP-16,RP-16,SM-4YCJO,SM-4YCJO,SM-5IJCT,SM-5IJCT,Resequencing,Resequencing,SL-HDF,1,cDNAShotgunStrandAgnostic,cDNAShotgunStrandAgnostic,Normal,PDO-2907,PDO-2907,RNA,RNA,P-RNA-0002,P-RNA-0002,,,,,,,
SRR1317282,RNA:Total RNA,RNA-Seq,152,6142618376,PRJNA75899,SAMN02787619,GTEx,GTEX-11GSO-1926-SM-5A5K3,Breast - Mammary Tissue,2867735650,BI,1,GRU,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX561911,phs000424,Illumina HiSeq 2000,No,Solexa-212827,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-02T00:00:00Z,GTEX-11GSO-1926-SM-5A5K3,SRP012682,Cross-Sectional,Genotype-Tissue Expression (GTEx),GTEX-11GSO,male,GCF_000001405.25,Breast,"Allele-Specific Expression,RNA Seq (NGS)",,,,broadinstitute.org:bsp.prod.sample:5A5K3,broadinstitute.org:bsp.prod.sample:5A5K3,G53061,G53061,H8E0NADXX140127,140127_SL-HDE_0320_AFCH8E0NADXX,39180,39180,H8E0NADXX,459902.0,459902.0,RNA:Total RNA,H8E0N.1,RP-16,RP-16,SM-4FM5I,SM-4FM5I,SM-5A5K3,SM-5A5K3,Resequencing,Resequencing,SL-HDE,1,cDNAShotgunStrandAgnostic,cDNAShotgunStrandAgnostic,Normal,PDO-2463,PDO-2463,RNA,RNA,P-RNA-0002,P-RNA-0002,,,,,,,
SRR1318774,RNA:Total RNA,RNA-Seq,152,5744268328,PRJNA75899,SAMN02788962,GTEx,GTEX-14AS3-1626-SM-5S2OY,Breast - Mammary Tissue,2463914388,BI,1,GRU,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX562476,phs000424,Illumina HiSeq 2000,No,Solexa-233187,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-03T00:00:00Z,GTEX-14AS3-1626-SM-5S2OY,SRP012682,Cross-Sectional,Genotype-Tissue Expression (GTEx),GTEX-14AS3,female,GCF_000001405.25,Breast,"Allele-Specific Expression,RNA Seq (NGS)",,,,broadinstitute.org:bsp.prod.sample:5S2OY,broadinstitute.org:bsp.prod.sample:5S2OY,G65113,G65113,H7GKJADXX140330,140330_SL-HDG_0357_AFCH7GKJADXX,40209,40209,H7GKJADXX,517658.0,517658.0,RNA:Total RNA,H7GKJ.2,RP-16,RP-16,SM-57O9V,SM-57O9V,SM-5S2OY,SM-5S2OY,Resequencing,Resequencing,SL-HDG,2,cDNAShotgunStrandAgnostic,cDNAShotgunStrandAgnostic,Normal,PDO-3103,PDO-3103,RNA,RNA,P-RNA-0002,P-RNA-0002,,,,,,,
